pertanyaan,jawaban
Berapa kapasitas RAM efektif per node di partisi epyc-jumbo?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Saya sangat senang dapat membantu Anda mengenai spesifikasi partisi yang Anda tanyakan.

Berdasarkan dokumen referensi, kapasitas RAM efektif per node di partisi **epyc-jumbo** adalah **500GB**.

Apakah ada hal lain yang ingin Anda tanyakan terkait spesifikasi atau penggunaan sistem?"
Berapa batas maksimal walltime (waktu komputasi) per job untuk golongan akun perseorangan?,"Halo, terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengenai batas waktu komputasi untuk akun perseorangan.

Berdasarkan dokumen referensi yang tersedia, berikut adalah rincian batas maksimal walltime per job untuk golongan akun perseorangan:

1.  Untuk **Akun Perseorangan**, batas maksimal waktu job (walltime) adalah **3 hari (72 jam)**.
2.  Batas ini berlaku umum untuk semua partisi (seperti epyc dan ampere) yang memiliki spesifikasi walltime **72 jam** per node.
3.  Perlu diingat bahwa Slurm akan menahan job (PENDING) jika alokasi waktu melebihi batas LFU atau akumulasi alokasi komputasi user.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan ALELEON Supercomputer?"
Saya ingin pakai partisi GPU. GPU jenis apa yang terpasang di partisi ampere?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengenai spesifikasi partisi GPU.

Berdasarkan dokumen referensi, partisi **ampere** terpasang GPU jenis **2x NVIDIA RTX 3090 (Ampere)** dengan kapasitas memori **24GB** dan fitur **NVLink**. Untuk menjalankan software di node ini, Anda disarankan menggunakan library CUDA minimal versi **11.0**, dan untuk komputasi multi-GPU direkomendasikan menggunakan package seperti **NVIDIA NCCL**.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi atau penggunaan partisi ampere?"
Apa alamat website portal EFIRO Web Service (EWS) untuk login?,"Selamat pagi dan salam hangat dari tim dukungan HPC Aleleon Supercomputer! Terima kasih banyak telah menghubungi kami untuk menanyakan informasi mengenai portal login.

Berdasarkan dokumentasi resmi, alamat website untuk melakukan login ke EFIRO Web Service (EWS) adalah:
1. https://aleleonsuper.computer

Silakan buka tautan tersebut menggunakan browser pilihan Anda untuk mengakses layanan ALELEON Supercomputer. Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan sistem?"
Perintah apa yang harus saya ketik di terminal untuk melihat daftar environment python/pyload yang saya buat?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda dalam mengelola lingkungan komputasi Anda.

Berdasarkan dokumen referensi yang tersedia, tidak ditemukan informasi mengenai perintah spesifik untuk melihat daftar environment Python atau pyload yang telah dibuat di terminal. Dokumen hanya menyebutkan cara mengaktifkan modul (misalnya `pyl load [nama-modul]`) dan mengecek kelengkapan package menggunakan `pycheck`, namun tidak menjelaskan perintah untuk mendaftarkan atau memunculkan list semua environment yang ada.

Saya tidak menemukan informasi tersebut di sistem. Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Slurm atau konversi file notebook?"
Berapa harga 1 GPU Hour (GH) untuk pengguna golongan perseorangan non-akademia?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengenai informasi biaya penggunaan GPU Hour (GH).

Berdasarkan dokumen referensi, berikut adalah rincian harga untuk Golongan Perseorangan Non-Akademia:

1. Harga untuk 1 GPU Hour (GH) pada golongan perseorangan non-akademia adalah **Rp8585,-/GH**.
2. Perlu diingat bahwa harga tersebut sudah termasuk PPN.

Apakah ada hal lain yang ingin Anda tanyakan mengenai paket atau metrik penggunaan lainnya?"
Saya mau cek sisa kuota core hour saya. Perintah sausage apa yang harus diketik?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengecek sisa kuota Core Hour.

Untuk memeriksa sisa kuota Core Hour Anda, silakan ikuti langkah-langkah berikut sesuai dokumentasi sistem:

1. Buka shell atau terminal ALELEON (bagi pengguna yang login di EWS, buka menu Clusters > Aleleon Shell Access).
2. Jalankan perintah berikut di terminal:
   $ sausage
3. Pada menu yang muncul, pilih opsi nomor 1 untuk membaca penggunaan core hour user dengan mengetik angka **1**.

Dengan melakukan langkah tersebut, Anda akan melihat informasi mengenai Effective Core Hour Remaining dan Actual Core Hour Usage Anda secara langsung.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan ALELEON?"
Apa itu PKSPIAS dalam pendaftaran akun ALELEON?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Saya sangat senang dapat membantu Anda memahami istilah PKSPIAS dalam konteks pendaftaran akun ALELEON.

PKSPIAS adalah singkatan dari **Perjanjian Kerja Sama Pengguna Institusi ALELEON Supercomputer**. Dokumen ini merupakan perjanjian resmi yang diadakan antara kedua belah pihak (pengguna institusi dan EFISON) untuk membahas hal-hal berikut:
1. Legalitas kerjasama.
2. Kesepakatan teknis mengenai alokasi komputasi (QoS), limitasi Fair Usage, biaya Core Hour, metode implementasi (seperti sistem kuota atau pasca-bayar), serta prioritas dan layanan support tambahan.

PKSPIAS harus ditandatangani atas nama institusi dengan menggunakan kredensial resmi antar institusi. Perjanjian ini khusus berlaku bagi golongan institusi yang mendaftar melalui sistem kerjasama resmi dengan EFISON.

Apakah ada hal lain yang ingin Anda tanyakan mengenai prosedur pendaftaran atau ketentuan penggunaan ALELEON?"
"Jika saya pakai aplikasi SFTP seperti FileZilla, apakah ada limit ukuran file yang bisa diupload?","Selamat siang! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, saya siap membantu Anda mengenai batas upload file menggunakan aplikasi SFTP seperti FileZilla.

Berdasarkan dokumentasi sistem, berikut adalah rincian limit ukuran upload untuk aplikasi SFTP:
1. Tidak ada batasan (limit) ukuran upload atau download saat menggunakan aplikasi SFTP secara langsung ke direktori HOME user.
2. Namun, jika Anda melakukan transfer data melalui menu Files > Home Directory di EFIRO Web Service (bukan via aplikasi SFTP), maka terdapat limit upload sebesar 100MB per file.
3. Untuk penggunaan aplikasi SFTP seperti FileZilla yang terhubung ke server ALELEON, Anda dapat mengunggah file dengan ukuran lebih besar dari 100MB tanpa hambatan.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan SFTP atau fitur lainnya?"
OS (Sistem Operasi) apa yang digunakan oleh ALELEON Mk.V?,"Selamat pagi dan terima kasih atas pertanyaan Anda mengenai spesifikasi sistem ALELEON Mk.V. Berikut adalah detail Sistem Operasi yang digunakan berdasarkan dokumen referensi resmi:

1.  Sistem Operasi yang dijalankan adalah **Rocky Linux 9.7 (Blue Onyx)**.
2.  Versi Kernel yang digunakan adalah **5.14.0-611.41.1.el9_7.x86_64**.

Apakah ada hal lain yang ingin Anda tanyakan terkait spesifikasi atau penggunaan ALELEON Supercomputer?"
